Academy,Project Name,Order,Lesson Name,Group,Title,Time,Description
Lower,Superheroes,3,Adding Details,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Superheroes,3,Adding Details,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Superheroes!, Lesson 3"
Lower,Superheroes,3,Adding Details,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Superheroes,3,Adding Details,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Superheroes,3,Adding Details,Worktime,FOCUS ON ADDING DETAILS THAT ILLUSTRATE THE CHARACTER’S STORY,,"At this point, the focus of the class-period should be getting student artists to translate the backstory that they created into details in their character's costume. As you walk around simply ask artists to: ‘tell me about your drawing’ and they will likely launch into a catalog of what each detail means. If an artist is particularly enthusiastic, stop the class and let him or her share with them. 



"
Lower,Superheroes,3,Adding Details,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Upper,Superheroes,3,Adding Details,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Superheroes,3,Adding Details,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Superheroes!, Lesson 3"
Upper,Superheroes,3,Adding Details,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Superheroes,3,Adding Details,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Superheroes,3,Adding Details,Worktime,FOCUS ON ADDING DETAILS THAT ILLUSTRATE THE CHARACTER’S STORY,,"At this point, the focus of the class-period should be getting student artists to translate the backstory that they created into details in their character's costume. As you walk around simply ask artists to: ‘tell me about your drawing’ and they will likely launch into a catalog of what each detail means. If an artist is particularly enthusiastic, stop the class and let him or her share with them. 



"
Upper,Superheroes,3,Adding Details,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Superheroes,4,"Adding Details, Day 2",Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Superheroes,4,"Adding Details, Day 2",Introduction,INSTRUCTIONS,5m,"Tell the students that they will have the entire day to add details to their superhero. Tell them that when they finish adding details to their superhero, they might want to consider adding details to the background to tell their viewers more about their superhero. Early finishers can add to their ‘zine. Provide them with the optional comic book template so they have the option of creating a comic-narrative about their superhero and including it."
Lower,Superheroes,4,"Adding Details, Day 2",Inspiration,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Superheroes,4,"Adding Details, Day 2",Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Superheroes,4,"Adding Details, Day 2",Worktime,FOCUS ON FINISHING,,"At this point, the focus of the class period should be getting student artists to finish drawing their superhero and be prepared for painting during Lesson 5.




"
Lower,Superheroes,4,"Adding Details, Day 2",Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Upper,Superheroes,4,"Adding Details, Day 2",Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Superheroes,4,"Adding Details, Day 2",Introduction,INSTRUCTIONS,5m,"Tell the students that they will have the entire day to add details to their superhero. Tell them that when they finish adding details to their superhero, they might want to consider adding details to the background to tell their viewers more about their superhero. Early finishers can add to their ‘zine. Provide them with the optional comic book template so they have the option of creating a comic-narrative about their superhero and including it."
Upper,Superheroes,4,"Adding Details, Day 2",Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Superheroes,4,"Adding Details, Day 2",Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Superheroes,4,"Adding Details, Day 2",Worktime,FOCUS ON FINISHING,,"At this point, the focus of the class period should be getting student artists to finish drawing their superhero and be prepared for painting during Lesson 5.




"
Upper,Superheroes,4,"Adding Details, Day 2",Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Superheroes,5,Finishing with Watercolors,Lesson Pre-work,PREPARE FOR THE LESSON BY PAINTING A CIRCLE OF COLOR SO IT CAN DRY,2m,"Pass out extra watercolor paper, brushes, water & paper towels before looking at the inspiration image or playing the video. Have the students paint a spot of color about the size of a ping-pong ball at the top—this is color that needs to dry."
Lower,Superheroes,5,Finishing with Watercolors,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"During the first portion of the video, where it goes over technique, you will have students work alongside the film, pausing it as they complete each step when the video says ‘pause’.  
 
Watch Video: Lesson 5, Superheroes "
Lower,Superheroes,5,Finishing with Watercolors,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Superheroes,5,Finishing with Watercolors,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Superheroes,5,Finishing with Watercolors,Worktime,FOCUS ON CONTROLLING THE PAINT,,"At this point, the focus of the class period should be getting student artists to think about the different techniques that they are using as they paint so that the application of paint becomes more intentional. Comment on how the paint is being applied; you can comment on colors being kept clean and separate by the student slowly applying paint and allowing it to dry between sections. Or, comment on students who have intentionally blended two colors, or used water to effectively ‘fan out’ their color. Comment on the diversity of lines when students are pressing down softly as well as hard. "
Lower,Superheroes,5,Finishing with Watercolors,Clean-up/Presentations,STUDENTS PRESENT THE WORK OF THE STUDENT ARTIST THAT THEY INTERVIEWED,5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Have the rest of the class gather close, choose a partner, and interview them about the artistic decisions that they made.

Have students come up and present the work of the person they interviewed. The artist is not allowed to say anything until the end. 

*It might be worth setting aside some time to look at all the work their fellow classmates made; whether through a presentation in the hall or setting them out on a table and having a walk through. "
Upper,Superheroes,5,Finishing with Watercolors,Lesson Pre-work,PREPARE FOR THE LESSON BY PAINTING A CIRCLE OF COLOR SO IT CAN DRY,2m,"Pass out extra watercolor paper, brushes, water & paper towels before looking at the inspiration image or playing the video. Have the students paint a spot of color about the size of a ping-pong ball at the top—this is color that needs to dry."
Upper,Superheroes,5,Finishing with Watercolors,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"During the first portion of the video, where it goes over technique, you will have students work alongside the film, pausing it as they complete each step when the video says ‘pause’.  
 
Watch Video: Lesson 5, Superheroes "
Upper,Superheroes,5,Finishing with Watercolors,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Superheroes,5,Finishing with Watercolors,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Superheroes,5,Finishing with Watercolors,Worktime,FOCUS ON CONTROLLING THE PAINT,,"At this point, the focus of the class period should be getting student artists to think about the different techniques that they are using as they paint so that the application of paint becomes more intentional. Comment on how the paint is being applied; you can comment on colors being kept clean and separate by the student slowly applying paint and allowing it to dry between sections. Or, comment on students who have intentionally blended two colors, or used water to effectively ‘fan out’ their color. Comment on the diversity of lines when students are pressing down softly as well as hard. "
Upper,Superheroes,5,Finishing with Watercolors,Clean-up/Presentations,STUDENTS PRESENT THE WORK OF THE STUDENT ARTIST THAT THEY INTERVIEWED,5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Have the rest of the class gather close, choose a partner, and interview them about the artistic decisions that they made.

Have students come up and present the work of the person they interviewed. The artist is not allowed to say anything until the end. 

*It might be worth setting aside some time to look at all the work their fellow classmates made; whether through a presentation in the hall or setting them out on a table and having a walk through. "
Upper,Symbol & Self,1,Self as Stuff,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Symbol & Self,1,Self as Stuff,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Symbol & Self, Lesson 1"
Upper,Symbol & Self,1,Self as Stuff,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Symbol & Self,1,Self as Stuff,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Symbol & Self,1,Self as Stuff,Worktime,FOCUS ON ATTACHING STORIES AND MEANING TO OBJECTS,,"At this point, the focus of the class period should be getting student artists thinking about how their objects represent different parts of themselves; as the teacher circulates, s/he should ask them to tell her the stories or the meanings behind the objects they have chosen to trace. If the pages are slippery with the tracing paper, hand out masking tape to keep the tracing paper in place. "
Upper,Symbol & Self,1,Self as Stuff,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Symbol & Self,1,Self as Stuff,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
