Academy,Project Name,Order,Lesson Name,Synopsis,Objective,Set-up,Materials,Photocopies,Media,Inspiration Image Description,Anticipated Problems,Early Finishers
Lower,Symbol & Self,1,Self as Stuff,"In this lesson, students find pictures of things that represent them metaphorically and trace them onto a piece of tracing paper. ","SWBAT understand that objects can stand as a symbol for something else.    
SWBAT trace the contours of the object. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. The teacher will need have a large selection of magazines, books, or pictures for students to flip through, so some consideration should be given to how student artists will access these. If you sent home a note, students may also have pictures that they brought in to trace. ","tracing paper, magazines, pens, masking tape","Before the project begins, send home this note with students: Pre-Lesson Letter/Symbol&Self_U&L","A large selection and variety of books w/pictures for students to look through and trace—look for books that address your student’s interests (machinery, animals, cooking, etc.). These can be borrowed from the library or borrowed from classroom teachers. ","Giant Piece of Cake, Claes Oldenburg, Swedish/American, 1962.    
   
Oldenburg worked with lowly, common objects ranging from foodstuff to clothespins. By changing scale or technique, he would draw attention to these objects, turning ordinary objects extraordinary.","If a student is having a hard time making the connection between objects and meaning and is getting frustrated with the exercise, have him or her simply trace things that appeal to them. Leave them to this, and when you return to them ask them to tell you what they liked about certain aspects, then continue questioning from there. Imbue meaning in the symbols as you talk with them so they begin to understand that the objects are symbolic completely upon their interpretation. ","Give early finishers another sheet of tracing paper. Or, if they are sick of tracing, give them a blank sheet of paper and encourage them to write down what the symbols mean to them. "
Upper,Symbol & Self,1,Self as Stuff,"In this lesson, students find pictures of things that represent them metaphorically and trace them onto a piece of tracing paper. ","SWBAT understand that objects can stand as a symbol for something else.    
SWBAT trace the contours of the object. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. The teacher will need have a large selection of magazines, books, or pictures for students to flip through, so some consideration should be given to how student artists will access these. If you sent home a note, students may also have pictures that they brought in to trace. ","tracing paper, magazines, pens, masking tape","Before the project begins, send home this note with students: Pre-Lesson Letter/Symbol&Self_U&L","A large selection and variety of books w/pictures for students to look through and trace—look for books that address your student’s interests (machinery, animals, cooking, etc.). These can be borrowed from the library or borrowed from classroom teachers. ","Giant Piece of Cake, Claes Oldenburg, Swedish/American, 1962.    
   
Oldenburg worked with lowly, common objects ranging from foodstuff to clothespins. By changing scale or technique, he would draw attention to these objects, turning ordinary objects extraordinary.","If a student is having a hard time making the connection between objects and meaning and is getting frustrated with the exercise, have him or her simply trace things that appeal to them. Leave them to this, and when you return to them ask them to tell you what they liked about certain aspects, then continue questioning from there. Imbue meaning in the symbols as you talk with them so they begin to understand that the objects are symbolic completely upon their interpretation. ","Give early finishers another sheet of tracing paper. Or, if they are sick of tracing, give them a blank sheet of paper and encourage them to write down what the symbols mean to them. "
Lower,Symbol & Self,2,Proportions,"In this lesson, student artists explore how their face is put together and discover that there are some basic rules that artists can follow to know where different features belong. They create a self-portrait by drawing along with the videdo-lesson, then edit it to fit their personal attributes. ","SWBAT understand how the different parts of the face relate to each other.
SWBAT follow along with the instructions to create a proportional face. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","pencil, pink eraser, drawing paper, optional: mirrors or photos (to help identify features for their portraits)",N/A,N/A,"“In Bed”, Ron Mueck, 2005.    
   
Ron Mueck is an Australian hyper-realist sculptor currently working in the United Kingdom. He started out as a prop maker and puppeteer before transitioning to fine art. He makes hyperrealistic sculptures of people where you can see every wrinkle and hair follicle, but then creates them either too large or too small to be real. ","If they are getting frustrated with their drawing abilities, or say “I can’t”, pair them with another student who is being successful at it. Ask the artist partner to help without doing it for them—they can draw on a new sheet of paper to show, but they should never draw directly on the work. If they don’t think that their drawing looks like them, tell them that sometimes it is difficult to see something clearly when you have been working on it for a long time. Start a group conversation with the other student artists at their table. The group can help out the student by pointing out the problem areas. The student artist can take the advice or not. Also let them know there will be some major revisions during the next lesson, so they can feel free to simply map out where the different facial features belong, then move on the free-drawing. 
Get them to relax; if they say something isn’t looking right, have them close their eyes pretend to be blind. They can feel the problematic portion of their face gently with their fingers. With their eyes closed, have them describe what they are feeling (a pointed chin, nose). Ask them to be more descriptive with questions like “Is is larger or smaller than your mouth” or “does it connect to anything else on your face?”",Allow early finishers to ‘free draw’ (draw whatever they wish) on copy paper. This will allow them some freedom after a rigorous assignment. 
Upper,Symbol & Self,2,Proportions,"In this lesson, artists learn about facial proportions and discover that they can create a more accurate portrait by learning and following them. They then create a self-portrait using basic proportions. ","SWBAT create guidelines and follow guidelines to map out their self-portrait.
SWBAT understand how using proportion and guidelines help to make their portrait more accurate.  ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","pencil, pink eraser, drawing paper, optional: mirrors or photos (to help identify features for their portraits), copy paper (for early finishers)","Symbol & Self_U.L2 (one per student) 
*Symbol & Self_Advanced_U.L2
* This is an optional sheet for students who might be particularly advanced in drawing proportions and need more specifics, such as kids who look at a lot of ‘how to draw’ packets outside of school, or kids who like to draw anime from YouTube videos. Please note that using this handout means that students will not be able to follow along with the film, so is more appropriate for one or two advanced students who can follow instructions from the handout and work independently while the rest of the class follows the film.",N/A,"“In Bed”, Ron Mueck, 2005.    
   
Ron Mueck is an Australian hyperrealist sculptor currently working in the United Kingdom. He started out as a prop maker and puppeteer before transitioning to fine art. He makes hyperrealistic sculptures of people where you can see every wrinkle and hair follicle, but then creates them either too large or too small to be real. ","Students might have a hard time drawing the lines; tell them that it takes practice and encourage them to draw lightly. You can offer them a ruler or the side of book (for a straight edge) if one is available. If they are getting frustrated with their drawing abilities, or say “I can’t”, pair them with another student who is being successful at it. Ask the artist partner to help without doing it for them—they can draw on a new sheet of paper to show, but they should never draw directly on the work.     

If they don’t think that their drawing looks like them, tell them that sometimes it is difficult to see something clearly when you have been working on it for a long time. Start a group conversation with the other student artists at their table. The group can help out the student by pointing out the problem areas. The student artist can take the advice or not. If they have drawn on the wrong guideline, reference the handout with them.    

Get them to relax; if they say something isn’t looking right, have them close their eyes pretend to be blind. They can feel the problematic portion of their face gently with their fingers. With their eyes closed, have them describe what they are feeling (a pointed chin, nose). Ask them to be more descriptive with questions like “Is is larger or smaller than your mouth” or “does it connect to anything else on your face?”","Allow early finishers to return to their tracing  paper, look through available books, and add more symbols that represent them. "
Lower,Symbol & Self,3,Combining Elements,"During this lesson, student artists take their objects and their self-portraits and combine them to create a portrait that represents them both inside and out. ","SWBAT understand that objects can stand in for something else (mood, experience, etc.).
SWBAT combine drawings of themselves with drawings of objects. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","pencil, eraser, tracing paper with objects from Lesson 1, extra tracing paper",N/A,"pencil, eraser, tracing paper with objects from Lesson 1, extra tracing paper","Lady Playing a Lute, Bartolomeo Venteto, Italian.    
   
This painting would have told a story to it’s viewers, who would have known how to ‘read’ the symbols: the woman has her head tilted to the side and wearing an enigmatic expression as a young woman plays the lute. Instead of consulting the open book of music at the bottom of the painting, the lutist faces the viewer; the lute and the music are just props. The rich fabric and jewels on her dress mark her as upper-class. A fur piece is draped over her left arm. Worn by high-ranking women in the 1500s, such furs were thought to keep away fleas. 
The many versions and derivations of this portrait made by different artists indicate that the subject enjoyed great popularity in Milan in the first half of the 1500s.  ","Students should be encouraged to add their objects in whatever way they feel comfortable; some will hesitate to alter their portraits from the previous lesson, in which case they can develop a background for their portrait and incorporate the objects into that. Other students will jump headfirst into erasing and editing with their objects. If they get frustrated with things not looking like their original drawing, you can place their tracing paper ON TOP of their drawing and show them where the two differ. ",Students can take out another piece of paper and list a secret “Key” to their drawing (object=meaning). 
Upper,Symbol & Self,3,Combining Elements,"During this lesson, student artists take their objects and their self-portraits and combine them to create a portrait that represents them both inside and out. ","SWBAT understand metaphor. 
SWBAT combine drawings of themselves with drawings of objects. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","pencil, eraser, tracing paper with objects from Lesson 1, extra tracing paper",N/A,"(The same as Lesson 1) A large selection and variety of books w/pictures for students to look through and trace—look for books that address your student’s interests (machinery, animals, cooking, etc.). These can be borrowed from the library or borrowed from classroom teachers. ","Lady Playing a Lute, Bartolomeo Venteto, Italian.    
   
This painting would have told a story to its viewers, who would have known how to ‘read’ the symbols: the woman has her head tilted to the side and wearing an enigmatic expression as a young woman plays the lute. Instead of consulting the open book of music at the bottom of the painting, the lutist faces the viewer; the lute and the music are just props. The rich fabric and jewels on her dress mark her as upper class. A fur piece is draped over her left arm. Worn by high-ranking women in the 1500s, such furs were thought to keep away fleas. The many versions and derivations of this portrait made by different artists indicate that the subject enjoyed great popularity in Milan in the first half of the 1500s.  ","Students should be encouraged to add their objects in whatever way they feel comfortable; some will hesitate to alter their portraits from the previous lesson, in which case they can develop a background for their portrait and incorporate the objects into that. Other students will jump headfirst into erasing and editing with their objects. If they get frustrated with things not looking like their original drawing, you can place their tracing paper ON TOP of their drawing and show them where the two differ. ",Students can take out another piece of paper and list a secret “Key” to their drawing (object=meaning). 
Lower,Symbol & Self,4,Finishing with Colored Pencils,"During this lesson, students learn how to hold and use their colored pencils to get different effects.","SWBAT color evenly and softly using their colored pencil. 
SWBAT grip their pencil firmly and use it deliberately to add texture. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","colored pencils, drawings from Lesson 3",N/A,N/A,"Untitled, Number 5, by Lucas Samaras, 1982","Students might not fill in the white areas with color, and when encouraged to, respond with “I like it white”. A simple way to solve this is to require that the whole paper be colored, and if it is staying white, then they can color it white. To further explain, reference how adding colors makes something more interesting to look at, and how the paper white and the pencil white are two different whites. So both the colors and the texture that they will be adding by coloring it rather than leaving it will create more visual interest. ","If a student says they are done, encourage them to look at their paper and see if there is anything they can improve. You can ask their seatmates to weigh in (make sure it is done constructively and helpfully). Ask them to think of texture that they might add, or areas that might be colored more carefully. "
Upper,Symbol & Self,4,Finishing with Colored Pencils,"During this lesson, students learn how to hold and use their colored pencils to get different effects, as well as how to use color to make their piece more dynamic to look at. ","SWBAT color evenly and softly using their colored pencil. 
SWBAT add many layers of color. 
SWBAT grip their pencil firmly and use it deliberately to add texture. 
SWBAT identify warm, cool, and neutral colors. 
SWBAT separate and use the different color families deliberately. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","colored pencils, drawings from Lesson 3",N/A,N/A,"Untitled, Number 5, by Lucas Samaras, 1982","Students might not fill in the white areas with color, and when encouraged to, respond with “I like it white”. A simple way to solve this is to require that the whole paper be colored, and if it is staying white, then they can color it white. To further explain, reference how adding colors makes something more interesting to look at, and how the paper white and the pencil white are two different whites. So both the colors and the texture that they will be adding by coloring it rather than leaving it will create more visual interest. ","If a student says they are done, encourage them to look at their paper and see if there is anything they can improve. You can ask their seatmates to weigh in (make sure it is done constructively and helpfully). Ask them to think of texture that they might add, or areas that might be colored more carefully. "
Lower,Symbol & Self,5,Final Workday,Allow a fifth day entirely for finishing and refining work. ,SWBAT carefully complete their work. ,"Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up.","colored pencils, drawings from Lesson 4",Artist Statement Worksheet_L.,N/A,,"Students might not fill in the white areas with color, and when encouraged to, respond with “I like it white”. A simple way to solve this is to require that the whole paper be colored, and if it is staying white, then they can color it white. To further explain, reference how adding colors makes something more interesting to look at, and how the paper white and the pencil white are two different whites. So both the colors and the texture that they will be adding by coloring it rather than leaving it will create more visual interest. ","As students finish, tell them that artists often have to write an artist’s statement that tells their viewers what they made and why. Ask them to write an artist statement using the Upper Academy Artist Statement Handout and attach it to the back of their work. As they finish, pair them up and have them ‘interview; each other. They should be able to answer what their interviewee drew, why they drew it, how they drew it, and if there was any particular inspiration that they should be aware of. "
Upper,Symbol & Self,5,Final Workday,Allow a fifth day entirely for finishing and refining work. ,SWBAT carefully complete their work. ,"Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up.","colored pencils, drawings from Lesson 4",Artist Statement Worksheet_U.,N/A,,"Students might not fill in the white areas with color, and when encouraged to, respond with “I like it white”. A simple way to solve this is to require that the whole paper be colored, and if it is staying white, then they can color it white. To further explain, reference how adding colors makes something more interesting to look at, and how the paper white and the pencil white are two different whites. So both the colors and the texture that they will be adding by coloring it rather than leaving it will create more visual interest. ","As students finish, tell them that artists often have to write an artist’s statement that tells their viewers what they made and why. Ask them to write an artist statement using the Upper Academy Artist Statement Handout and attach it to the back of their work. As they finish, pair them up and have them ‘interview; each other. They should be able to answer what their interviewee drew, why they drew it, how they drew it, and if there was any particular inspiration that they should be aware of. "
Lower,Dream House,1,Learning to See,"In this lesson, artists are introduced to the importance of looking and pay close attention to the nuances of the things that they are drawing.  They do this through ‘Blind Contour Drawing’, where they draw without looking at the paper, as well as ‘Blind Bag’ drawing were they draw what they feel rather than what they see. ","SWBAT understand that paying close attention to what they are drawing and using their eyes to closely observe an object’s particular details is important to drawing. 
SWBAT define ‘contour line’. ","Students will be working individually as well as in pairs. Have plenty of inexpensive paper out for students to use without having to request it, as well as extra pencils for when the tips go dull (alternately, you can use ball-point pens). Paper bags and bins of misc object should be at the ready for the second portion of the lesson, and the teacher should have a plan on how students will access these materials (see lesson for details). ","sharp pencils, copy paper, paper bags (1 per student, any size), misc small objects  
 
Note: The objects can be anything—students will feel them blindly and draw what they feel. Pencils, feathers, books, etc. Anything that can fit into the bags you choose is fair game.",N/A,N/A," La Sagrada Familia, by Antoni Gaudi (show the maquette, discuss, then show the actual building.) 

Image number one is called a maquette, or, a small sculpture that architects use to show people what their vision for the completed building is. This is a maquette of La Sagrada Família in Barcelona. This is a church that was begun 131 years ago and is not finished yet.  
At the time of Gaudi's death (the architect), the church was approximately a quarter finished. It is expected to be finished in 2026, on the 100-year anniversary of Gaudi's death. 
It has taken so long to complete due to challenges over the intense complexity of the design, the money needed to fund it and a building interruption from the Spanish Civil War.","Students might have a hard time letting go of a perfect drawing. Discourage this by creating an air of levity and laughing with students about their ‘silly’ drawings while also pointing out the different things they noticed by studying so carefully. Tell students that for this exercise, the LESS it looks like the actual subject, the better! ",Allow students to make multiple drawings of each exercise. 
Upper,Dream House,1,Learning to See,"In this lesson, artists begin the process of designing their ‘dream house’. They start out by building the basic shape of their dream house using paper cups. ",SWBAT use basic tools to plan and build the basic structure of their dream house. ,"Students will be working individually, but can easily communally use materials such as glue and scissors. Some thought should be put into storage before the class since each student will be making a small sculpture. If using hot glue, consider hot glue stations, and go over safety rules before starting. ","paper cups (dixie cups or other small cups work best), glue, scissors, paper plates
optional: hot glue",N/A,optional (see: early finishers): library books on a variety of architectural styles and/or tablets or computers for research," La Sagrada Familia, by Antoni Gaudi (show the maquette, discuss, then show the actual building.) 

Image number one is called a maquette, or, a small sculpture that architects use to show people what their vision for the completed building is. This is a maquette of La Sagrada Família in Barcelona. This is a church that was begun 131 years ago and is not finished yet.  
At the time of Gaudi's death (the architect), the church was approximately a quarter finished. It is expected to be finished in 2026, on the 100-year anniversary of Gaudi's death. 
It has taken so long to complete due to challenges over the intense complexity of the design, the money needed to fund it and a building interruption from the Spanish Civil War.","Student artists might get too much glue on their hands; have them rub their hands quickly together and it will ball up and come off their skin. If they use too much glue, demonstrate how much (or little) glue to use, then give them a paper towel to clean up the drips and runs. 

If a student is working quickly, suggest that they cut any glue things such as archways, etc. If copy paper is available, you might want to allow them copy paper to cut and glue for the details. ","Have a collection of library books on architecture that students can reference if they are finished. Alternately, you can set them up with computers or tablets and allow them to research architectural styles on: http://www.greatbuildings.com/types.html
"
